Quote,Beta,Current Ratio,Diluted EPS,EBITDA,EV,Market Cap,Operating Margin,P/B,P/S,Profit Margin,Qualterly Revenue Growth,ROA,ROE,Revenue,Shares Outstanding,Week Change,isBasicIndustries,isCapitalGoods,isConsumerDurables,isConsumerNonDurables,isConsumerServices,isEnergy,isFinance,isHealthCase,isMiscellaneous,isPublicUtilities,isTechnology,isTransportation
AABA,1.98,17.07,29.96,6650000,59050000000,63160000000,0.1221,0.95,1159.8,453.876,-0.981,0.0001,0.4731,54460000,873380000,873380000,0,0,0,0,0,0,0,0,0,0,1,0
AAL,1.27,0.61,3.9,6790000000,41700000000,22600000000,0.113,5.78,0.54,0.0455,0.083,0.0581,0.4977,42210000000,473140000,473140000,0,0,0,0,0,0,0,0,0,0,0,1
AAME,0.77,1.21,0.2,8520000,73660000,63240000,0.0391,0.56,0.35,0.025,0.22,0.0134,0.0415,181110000,20400000,20400000,0,0,0,0,0,0,1,0,0,0,0,0
AAOI,1.22,3.25,3.67,107330000,555310000,551670000,0.2274,1.65,1.44,0.1934,-0.059,0.1402,0.2638,382330000,19500000,19500000,0,0,0,0,0,0,0,0,0,0,1,0
AAON,0.67,3.07,1.03,89880000,1820000000,1900000000,0.1848,7.99,4.68,0.1345,0.136,0.1692,0.246,405230000,52430000,52430000,0,1,0,0,0,0,0,0,0,0,0,0
AAPL,1.1,1.24,9.7,74170000000,9.32E+11,9.02E+11,0.2687,6.45,3.77,0.2113,0.127,0.1089,0.3707,2.39E+11,5070000000,5070000000,0,0,0,0,0,0,0,0,0,0,1,0
AAWW,1.63,0.8,8.65,438110000,3540000000,1620000000,0.1143,0.9,0.75,0.1036,0.185,0.0335,0.1357,2160000000,25430000,25430000,0,0,0,0,0,0,0,0,0,0,0,1
AAXN,0.76,1.9,0.1,22060000,2190000000,2280000000,0.0408,13.52,6.63,0.0151,0.153,0.0284,0.0327,343800000,53310000,53310000,0,1,0,0,0,0,0,0,0,0,0,0
ABAC,2.2,19.52,0.11,4300000,-40370000,20360000,0.0393,0.23,0.75,0.0411,0.017,0.0073,0.0127,270000000,7980000,7980000,0,0,0,1,0,0,0,0,0,0,0,0
ABAX,2.15,5.92,1.08,45560000,1510000000,1670000000,0.1601,5.93,7.09,0.1051,0.131,0.0754,0.0914,234980000,22700000,22700000,0,1,0,0,0,0,0,0,0,0,0,0
ABIL,0.3,0.91,-0.53,-10090000,5060000,7880000,-2.995,139.09,2.21,0,-0.97,-0.2304,-1.8419,3570000,2580000,2580000,0,0,1,0,0,0,0,0,0,0,0,0
ABMD,-0.12,5.6,1.99,150630000,12840000000,13620000000,0.2589,21.53,25.04,0.1658,0.343,0.1442,0.1719,543990000,44280000,44280000,0,0,0,0,0,0,0,1,0,0,0,0
ACAD,3.91,7.62,-2.36,-289700000,2020000000,2490000000,-2.3411,7.41,19.95,-2.3171,2.642,-0.3865,-0.678,124900000,124700000,124700000,0,0,0,0,0,0,0,1,0,0,0,0
ACET,1.42,2,-0.17,73710000,474770000,227640000,0.0544,0.57,0.31,-0.0079,0.364,0.0245,-0.0148,741230000,30760000,30760000,0,0,0,0,0,0,0,1,0,0,0,0
ACGL,0.46,1.2,4.07,1140000000,11180000000,1.10E+11,0.18,1.34,1.96,0.1101,0.438,0.0206,0.0644,5630000000,136700000,136700000,0,0,0,0,0,0,1,0,0,0,0,0
ACGLP,0.61,1.2,4.07,1140000000,3750000000,11120000000,0.18,0.4,1.98,0.1101,0.438,0.0206,0.0644,5630000000,134880000,134880000,0,0,0,0,0,0,1,0,0,0,0,0
ACHC,0.43,1.25,2.3,580890000,6590000000,3460000000,0.1544,1.33,1.22,0.0705,0.031,0.044,0.0835,2840000000,88270000,88270000,0,0,0,0,0,0,0,1,0,0,0,0
