,Stock,Bollinger Band,Keltner Channel,Moving Average Envelope,Price Channel,Parabolic SAR
0,./stocks/AABA.csv,15043.7384589,16600.6384689,12736.9181279,10341.580403,17439.4269009
1,./stocks/AAL.csv,11108.8574738,11018.0474988,10865.4075998,12330.150222,9973.04129879
2,./stocks/AAME.csv,7790.65682927,7687.10682927,7103.14682927,8425.8,6835.23175908
3,./stocks/AAOI.csv,15321.0245192,15095.9545402,13678.2245852,11516.110904,12896.5276048
4,./stocks/AAON.csv,10936.5859018,10662.6360078,11136.8858808,11890.549614,10339.0985581
5,./stocks/AAPL.csv,15403.4878725,14867.5577785,15906.2078255,9631.469783,15446.5721172
6,./stocks/AAWW.csv,12595.9405634,13126.7906214,13122.7906214,12621.050294,12321.5704211
7,./stocks/AAXJ.csv,14149.1013389,12350.3074379,13292.5716829,10163.579818,13684.0992379
8,./stocks/AAXN.csv,13312.6721862,16258.7024232,17229.0327462,11929.670653,17058.961435
9,./stocks/ABAC.csv,6783.23666667,7683.38666667,4772.21,10547.1,6359.4990442
10,./stocks/ABAX.csv,14729.2184099,13801.7684089,13390.8283369,15122.120299,13240.66401
11,./stocks/ABCB.csv,12673.3961569,11898.7963739,13806.3455979,12555.450161,11823.823626
12,./stocks/ABCD.csv,21791.3918864,19806.8418864,27650.8518864,18038.88,22791.7488836
13,./stocks/ABDC.csv,4904.01395368,4072.25395368,5722.70395368,-1106.28,5792.02406125
14,./stocks/ABEO.csv,32284.6,33602.65,45374.759944,22072.150099,38329.9541279
15,./stocks/ABIL.csv,23306.4945556,14268.4985556,30148.6165556,227950.342,2655.16845788
16,./stocks/ABIO.csv,1408.86103321,2522.67103321,-485.87896679,1720.42,2055.80919501
17,./stocks/ABMD.csv,18229.7439419,22385.7937759,14664.4690974,11791.970548,25539.4043006
18,./stocks/ABTX.csv,12286.7218319,11536.2717309,12320.0216259,14164.100028,11235.1210931
19,./stocks/ABUS.csv,17951.85,20193.3,15171.2,16238.5,20007.1828962
20,./stocks/ACAD.csv,7836.14289269,7598.77298869,9080.60292569,5537.779373,6709.16629085
21,./stocks/ACBI.csv,10276.84994,10680.550002,10041.999945,10663.375522,9882.93116883
22,./stocks/ACER.csv,25904.550945,18243.69933,29049.257595,42468.033949,17519.0112534
23,./stocks/ACET.csv,4757.71886994,1609.69886994,6226.7100714,-24.260655,3373.6033512
24,./stocks/ACFC.csv,13646.8037703,15002.6937703,13719.0937703,11243.98,14570.1997113
25,./stocks/ACGL.csv,9923.75274607,9806.91270407,9923.81266307,8021.809533,9403.66809564
26,./stocks/ACGLP.csv,11180.4096954,11287.4447684,11142.8947674,10368.609898,11096.8849841
27,./stocks/ACHC.csv,12134.0089261,12478.7588461,12051.2890201,12830.529289,11417.0315764
28,./stocks/ACHN.csv,10136.8712895,9774.87128954,9549.16128954,14373.86,8902.17442907
29,./stocks/ACHV.csv,1057.53242424,2271.22242424,450.632814242,-13559.43029,2922.05911309
30,./stocks/ACIA.csv,6818.3329504,6496.9829774,6663.2229914,6001.719252,6369.24424155
31,./stocks/ACIW.csv,13248.0554913,13141.7855783,13008.4054883,13828.99965,12807.2962671
32,./stocks/ACLS.csv,18152.7227178,16837.6229988,17268.2228668,14951.149321,17299.9962809
33,./stocks/ACNB.csv,9859.93539938,9455.43532638,10009.9354644,10649.800138,8945.43260213
34,./stocks/ACOR.csv,13845.7089894,14140.5090334,13829.4589524,17862.679572,11775.3141589
35,./stocks/ACRS.csv,5974.92478139,6130.15478039,7584.16456239,8321.731284,6542.50643843
36,./stocks/ACRX.csv,11239.7194118,10789.8394118,9101.30941176,14442.17,9333.52886296
37,./stocks/ACSF.csv,9326.19789916,9345.89789916,8717.89789916,9441.775,9372.33223419
38,./stocks/ACST.csv,9575.01178295,9571.25178295,8406.47178295,10363.88,7849.88338947
39,./stocks/ACTG.csv,5013.79962963,6243.31962963,3419.41962963,4217.63,5513.66137262
40,./stocks/ACWI.csv,12120.9231322,11252.3339998,12253.9532962,10200.630379,12049.8031445
41,./stocks/ACWX.csv,12406.9340284,11346.003525,12330.3040834,10294.3502,12343.3997246
42,./stocks/ACXM.csv,10210.0732269,9976.50320692,10523.2130679,11093.40975,9368.02131446
43,./stocks/ADAP.csv,31071.9966019,24863.5966019,26321.2266019,44936.195,29756.1902637
44,./stocks/ADBE.csv,18184.7125164,16059.2733829,15555.746029,10442.519855,21273.4617514
45,./stocks/ADES.csv,13322.8848637,12415.6948637,12148.3248637,16263.68,12105.8235728
46,./stocks/ADI.csv,13235.5159172,12722.0859712,13872.8459362,11978.020066,12991.4507483
47,./stocks/ADMA.csv,15912.1410683,13720.1270683,13234.6470683,24452.93,10714.6099504
48,./stocks/ADMP.csv,12060.4653846,12251.0653846,12093.7553846,15286.62,11136.5119463
49,./stocks/ADMS.csv,16984.6118239,16253.2116249,15125.0116249,23995.721215,14501.7366134
